"District","Town_Name","2011_Area_Km2","2001_Area_Km2","Area_Change_Reason","state_name","civic_status","clean_town_name"
"Badgam","Beerwah M.C.",5,5.1,"Revised Computation","JAMMU & KASHMIR","M.C.","Beerwah "
"Srinagar","Srinagar M.Corp.",278.1,225.77,"Change in Jurisdiction","JAMMU & KASHMIR","M.Corp.","Srinagar Corp."
"Srinagar","Badami Bagh C.B.",5.9,4.23,"Change in Jurisdiction","JAMMU & KASHMIR","C.B.","Badami Bagh "
"Ganderbal","Ganderbal M.C.",11.36,7.72,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Ganderbal "
"Pulwama","Awantipora M.C.",5,8.28,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Awantipora "
"Pulwama","Pulwama M.C.",3,13.91,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Pulwama "
"Pulwama","Pampore M.C.",8.05,3.89,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Pampore "
"Anantnag","Mattan M.C.",2.5,1.4,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Mattan "
"Anantnag","Achhabal M.C.",3,2.08,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Achhabal "
"Anantnag","Koker Nag M.C.",3,3.4,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Koker Nag "
"Anantnag","Qazi Gund M.C.",6.5,1.24,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Qazi Gund "
"Anantnag","Bijbehara M.C.",3.71,2.4,"Revised Computation","JAMMU & KASHMIR","M.C.","Bijbehara "
"Anantnag","Duru Verinag M.C.",8,12.35,"Revised Computation","JAMMU & KASHMIR","M.C.","Duru Verinag "
"Kulgam","Kulgam M.C.",18.51,12.8,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Kulgam "
"Jammu","Jammu M.Corp.",112,73.65,"Change in Jurisdiction","JAMMU & KASHMIR","M.Corp.","Jammu Corp."
"Jammu","Jammu Cantt. C.B.",7.83,6.45,"Change in Jurisdiction","JAMMU & KASHMIR","C.B.","Jammu Cantt. "
"Jammu","Bari Brahamana M.C.",17.99,44.71,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Bari Brahamana "
"Samba","Ramgarh M.C.",4.52,3,"Change in Jurisdiction","JAMMU & KASHMIR","M.C.","Ramgarh "
"Baramula","Baramula M.Cl.",8.35,17.18,"Revised Computation","JAMMU & KASHMIR","M.Cl.","Baramula Cl."
"Baramula","Sopore M.Cl.",9.9,18.9,"Revised Computation","JAMMU & KASHMIR","M.Cl.","Sopore Cl."
"Kangra","Nagrota Bagwan M.Cl.",3.54,1.15,"Revised Computation","HIMACHAL PRADESH","M.Cl.","Nagrota Bagwan Cl."
"Mandi","Sundarnagar M.Cl.",12.31,11.46,"Revised Computation","HIMACHAL PRADESH","M.Cl.","Sundarnagar Cl."
"Hamirpur","Bhota N.P.",1.06,1.07,"Revised Computation","HIMACHAL PRADESH","N.P.","Bhota "
"Bilaspur","Naina Devi M.Cl.",0.92,0.82,"Revised Computation","HIMACHAL PRADESH","M.Cl.","Naina Devi Cl."
"Solan","Baddi M.Cl.",6.99,6.96,"Revised Computation","HIMACHAL PRADESH","M.Cl.","Baddi Cl."
"Solan","Parwanoo M.Cl.",8.49,8.4,"Change in Jurisdiction","HIMACHAL PRADESH","M.Cl.","Parwanoo Cl."
"Sirmaur","Nahan M.Cl.",10.89,8.78,"Revised Computation","HIMACHAL PRADESH","M.Cl.","Nahan Cl."
"Shimla","Shimla M.Corp.",35.34,28.53,"Change in Jurisdiction","HIMACHAL PRADESH","M.Corp.","Shimla Corp."
"Gurdaspur","Sujanpur M.Cl.",10.5,5.08,"Change in Jurisdiction","PUNJAB","M.Cl.","Sujanpur Cl."
"Gurdaspur","Batala M.Cl.",36.6,8.75,"Change in Jurisdiction","PUNJAB","M.Cl.","Batala Cl."
"Gurdaspur","Sri Hargobindpur M.Cl.",6,0.52,"Change in Jurisdiction","PUNJAB","M.Cl.","Sri Hargobindpur Cl."
"Kapurthala","Kapurthala M.Cl.",23.67,56,"Revised Computation","PUNJAB","M.Cl.","Kapurthala Cl."
"Kapurthala","Dhilwan N.P.",9.8,2,"Revised Computation","PUNJAB","N.P.","Dhilwan "
"Kapurthala","Sultanpur M.Cl.",9.5,10.52,"Change in Jurisdiction","PUNJAB","M.Cl.","Sultanpur Cl."
"Jalandhar","Lohian Khass N.P.",4,3,"Revised Computation","PUNJAB","N.P.","Lohian Khass "
"Jalandhar","Shahkot N.P.",6,3,"Change in Jurisdiction","PUNJAB","N.P.","Shahkot "
"Jalandhar","Goraya N.P.",14,5,"Revised Computation","PUNJAB","N.P.","Goraya "
"Jalandhar","Phillaur M.Cl.",7.5,0.75,"Revised Computation","PUNJAB","M.Cl.","Phillaur Cl."
